algorithm,num_episodes,num_labels,num_neighbors,random_seed_index,target_color,random_seed,target_color_hex,color_sequence_type,_hostname,_pwd,_username,_start_time,_end_time,answer,answer_episode,num_fallbacks,runtime,total_episodes
brute-force,1000,10,0,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:05.665679,2017-07-21 18:11:06.558181,#07F9B1,450,0,0.41709041595458984,1000
exact-heuristic,1000,10,0,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:06.559883,2017-07-21 18:11:07.088940,#07F9B1,450,0,0.038666486740112305,87
neighbor-heuristic,1000,10,1,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:07.090722,2017-07-21 18:11:07.603707,#07F9B1,450,0,0.038686513900756836,87
neighbor-heuristic,1000,10,2,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:07.605312,2017-07-21 18:11:08.117852,#07F9B1,450,0,0.03863263130187988,87
neighbor-heuristic,1000,10,3,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:08.119340,2017-07-21 18:11:08.658802,#07F9B1,450,0,0.03907299041748047,87
brute-force,1000,10,0,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:08.660297,2017-07-21 18:11:09.551114,#FC1D68,662,0,0.4180917739868164,1000
exact-heuristic,1000,10,0,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:09.576379,2017-07-21 18:11:10.093119,#FC1D68,662,0,0.026121854782104492,59
neighbor-heuristic,1000,10,1,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:10.094953,2017-07-21 18:11:10.595482,#FC1D68,662,0,0.02629256248474121,59
neighbor-heuristic,1000,10,2,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:10.597130,2017-07-21 18:11:11.117761,#FC1D68,662,0,0.02610945701599121,59
neighbor-heuristic,1000,10,3,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:11.119306,2017-07-21 18:11:11.621415,#FC1D68,662,0,0.026107072830200195,59
brute-force,1000,10,0,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:11.622919,2017-07-21 18:11:12.542192,#BBAD3D,40,0,0.44283533096313477,1000
exact-heuristic,1000,10,0,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:12.543864,2017-07-21 18:11:13.054472,#B7BA3D,154,0,0.03986978530883789,91
neighbor-heuristic,1000,10,1,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:13.056266,2017-07-21 18:11:13.573347,#B7BA3D,154,0,0.04046821594238281,91
neighbor-heuristic,1000,10,2,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:13.574944,2017-07-21 18:11:14.112248,#B7BA3D,154,0,0.04013538360595703,91
neighbor-heuristic,1000,10,3,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:14.113774,2017-07-21 18:11:14.628079,#B7BA3D,154,0,0.04024505615234375,91
brute-force,1000,20,0,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:14.629607,2017-07-21 18:11:15.551657,#D27495,102,0,0.4394552707672119,1000
exact-heuristic,1000,20,0,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:15.553435,2017-07-21 18:11:16.050357,#D27495,102,0,0.01827216148376465,41
neighbor-heuristic,1000,20,1,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:16.052243,2017-07-21 18:11:16.551975,#D27495,102,0,0.018134593963623047,41
neighbor-heuristic,1000,20,2,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:16.553566,2017-07-21 18:11:17.073031,#D27495,102,0,0.018080949783325195,41
neighbor-heuristic,1000,20,3,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:17.074609,2017-07-21 18:11:17.574402,#D27495,102,0,0.018277406692504883,41
brute-force,1000,20,0,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:17.575953,2017-07-21 18:11:18.496185,#79B736,645,0,0.4198591709136963,1000
exact-heuristic,1000,20,0,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:18.497903,2017-07-21 18:11:18.989139,#79B736,645,0,0.012937068939208984,29
neighbor-heuristic,1000,20,1,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:18.990958,2017-07-21 18:11:19.482945,#79B736,645,0,0.01291346549987793,29
neighbor-heuristic,1000,20,2,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:19.484665,2017-07-21 18:11:20.003258,#79B736,645,0,0.0130462646484375,29
neighbor-heuristic,1000,20,3,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:20.004784,2017-07-21 18:11:20.498411,#79B736,645,0,0.013197898864746094,29
brute-force,1000,20,0,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:20.500038,2017-07-21 18:11:21.414156,#07F9B1,450,0,0.41427016258239746,1000
exact-heuristic,1000,20,0,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:21.415841,2017-07-21 18:11:21.899199,#07F9B1,450,0,0.006752490997314453,15
neighbor-heuristic,1000,20,1,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:21.900958,2017-07-21 18:11:22.409419,#07F9B1,450,0,0.00683903694152832,15
neighbor-heuristic,1000,20,2,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:22.410997,2017-07-21 18:11:22.896452,#07F9B1,450,0,0.006772518157958984,15
neighbor-heuristic,1000,20,3,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:22.897955,2017-07-21 18:11:23.386273,#07F9B1,450,0,0.006863117218017578,15
brute-force,1000,20,0,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:23.387859,2017-07-21 18:11:24.309301,#FC1D68,662,0,0.41757822036743164,1000
exact-heuristic,1000,20,0,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:24.310991,2017-07-21 18:11:24.805988,#FC1D68,662,0,0.0153350830078125,35
neighbor-heuristic,1000,20,1,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:24.807757,2017-07-21 18:11:25.325364,#FC1D68,662,0,0.015614509582519531,35
neighbor-heuristic,1000,20,2,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:25.326981,2017-07-21 18:11:25.822914,#FC1D68,662,0,0.015444755554199219,35
neighbor-heuristic,1000,20,3,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:25.824441,2017-07-21 18:11:26.323010,#FC1D68,662,0,0.015653133392333984,35
brute-force,1000,20,0,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:26.324580,2017-07-21 18:11:27.250261,#BBAD3D,40,0,0.4174833297729492,1000
exact-heuristic,1000,20,0,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:27.251911,2017-07-21 18:11:27.783776,#BBAD3D,40,0,0.03210949897766113,71
neighbor-heuristic,1000,20,1,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:27.785486,2017-07-21 18:11:28.335517,#BBAD3D,40,0,0.03234505653381348,71
neighbor-heuristic,1000,20,2,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:28.336995,2017-07-21 18:11:28.863706,#BBAD3D,40,0,0.03186488151550293,71
neighbor-heuristic,1000,20,3,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:28.865493,2017-07-21 18:11:29.380151,#BBAD3D,40,0,0.031037330627441406,71
brute-force,1000,50,0,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:29.381714,2017-07-21 18:11:30.332762,#D27495,102,0,0.4204103946685791,1000
exact-heuristic,1000,50,0,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:30.334486,2017-07-21 18:11:30.849719,#C37B91,644,0,0.006928682327270508,15
neighbor-heuristic,1000,50,1,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:30.863794,2017-07-21 18:11:31.393631,#C37B91,644,0,0.0067975521087646484,15
neighbor-heuristic,1000,50,2,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:31.395350,2017-07-21 18:11:31.908834,#C37B91,644,0,0.006846904754638672,15
neighbor-heuristic,1000,50,3,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:31.910540,2017-07-21 18:11:32.427776,#C37B91,644,0,0.00689387321472168,15
brute-force,1000,50,0,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:32.429554,2017-07-21 18:11:33.373587,#79B736,645,0,0.4159512519836426,1000
exact-heuristic,1000,50,0,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:33.375445,2017-07-21 18:11:33.889483,#7BB018,536,0,0.00835275650024414,18
neighbor-heuristic,1000,50,1,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:33.891443,2017-07-21 18:11:34.423266,#7BB018,536,0,0.008117198944091797,18
neighbor-heuristic,1000,50,2,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:34.424969,2017-07-21 18:11:34.937014,#7BB018,536,0,0.008138418197631836,18
neighbor-heuristic,1000,50,3,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:34.938733,2017-07-21 18:11:35.475870,#7BB018,536,0,0.008214235305786133,18
brute-force,1000,50,0,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:35.477456,2017-07-21 18:11:36.397727,#07F9B1,450,0,0.41721105575561523,1000
exact-heuristic,1000,50,0,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:36.399563,2017-07-21 18:11:36.908820,#07F9B1,450,0,0.005539417266845703,12
neighbor-heuristic,1000,50,1,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:36.910822,2017-07-21 18:11:37.444711,#07F9B1,450,0,0.00556182861328125,12
neighbor-heuristic,1000,50,2,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:37.446423,2017-07-21 18:11:37.958109,#07F9B1,450,0,0.005585432052612305,12
neighbor-heuristic,1000,50,3,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:37.959790,2017-07-21 18:11:38.489280,#07F9B1,450,0,0.005568504333496094,12
brute-force,1000,50,0,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:38.514384,2017-07-21 18:11:39.432165,#FC1D68,662,0,0.4145820140838623,1000
exact-heuristic,1000,50,0,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:39.434138,2017-07-21 18:11:39.970348,#FC1D68,662,0,0.009476661682128906,21
neighbor-heuristic,1000,50,1,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:39.972233,2017-07-21 18:11:40.485475,#FC1D68,662,0,0.009479761123657227,21
neighbor-heuristic,1000,50,2,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:40.487147,2017-07-21 18:11:41.001783,#FC1D68,662,0,0.009541034698486328,21
neighbor-heuristic,1000,50,3,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:41.003354,2017-07-21 18:11:41.543292,#FC1D68,662,0,0.009935379028320312,21
brute-force,1000,50,0,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:41.544953,2017-07-21 18:11:42.465779,#BBAD3D,40,0,0.4165923595428467,1000
exact-heuristic,1000,50,0,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:42.467610,2017-07-21 18:11:42.999349,#BBAD3D,40,0,0.008215188980102539,18
neighbor-heuristic,1000,50,1,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:43.001312,2017-07-21 18:11:43.513458,#BBAD3D,40,0,0.008385658264160156,18
neighbor-heuristic,1000,50,2,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:43.515176,2017-07-21 18:11:44.031065,#BBAD3D,40,0,0.008133649826049805,18
neighbor-heuristic,1000,50,3,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:44.032794,2017-07-21 18:11:44.572175,#BBAD3D,40,0,0.008548498153686523,18
brute-force,1000,100,0,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:44.573806,2017-07-21 18:11:45.535658,#D27495,102,0,0.41594457626342773,1000
exact-heuristic,1000,100,0,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:45.537525,2017-07-21 18:11:46.107987,#D27495,102,0,0.0043375492095947266,9
neighbor-heuristic,1000,100,1,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:46.109850,2017-07-21 18:11:46.659478,#D27495,102,0,0.0043125152587890625,9
neighbor-heuristic,1000,100,2,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:46.661154,2017-07-21 18:11:47.211174,#D27495,102,0,0.004339694976806641,9
neighbor-heuristic,1000,100,3,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:47.212828,2017-07-21 18:11:47.785874,#D27495,102,0,0.004326343536376953,9
brute-force,1000,100,0,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:47.787612,2017-07-21 18:11:48.758906,#79B736,645,0,0.4188828468322754,1000
exact-heuristic,1000,100,0,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:48.760778,2017-07-21 18:11:49.328591,#84B02C,178,0,0.0030138492584228516,6
neighbor-heuristic,1000,100,1,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:49.330524,2017-07-21 18:11:49.878736,#84B02C,178,0,0.0029778480529785156,6
neighbor-heuristic,1000,100,2,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:49.880503,2017-07-21 18:11:50.429667,#84B02C,178,0,0.00299835205078125,6
neighbor-heuristic,1000,100,3,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:50.431267,2017-07-21 18:11:51.001964,#84B02C,178,0,0.003014087677001953,6
brute-force,1000,100,0,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:51.004374,2017-07-21 18:11:51.969328,#07F9B1,450,0,0.41847848892211914,1000
exact-heuristic,1000,100,0,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:51.971115,2017-07-21 18:11:52.543188,#07F9B1,450,0,0.002580404281616211,5
neighbor-heuristic,1000,100,1,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:52.545181,2017-07-21 18:11:53.093585,#07F9B1,450,0,0.0025839805603027344,5
neighbor-heuristic,1000,100,2,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:53.095233,2017-07-21 18:11:53.674545,#07F9B1,450,0,0.002580404281616211,5
neighbor-heuristic,1000,100,3,1,#06FDA3,0.27741150101170864,#06FDA3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:53.676230,2017-07-21 18:11:54.227817,#07F9B1,450,0,0.0025920867919921875,5
brute-force,1000,100,0,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:54.229524,2017-07-21 18:11:55.193635,#FC1D68,662,0,0.41878676414489746,1000
exact-heuristic,1000,100,0,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:55.195559,2017-07-21 18:11:55.768215,#FC1D68,662,0,0.0052661895751953125,11
neighbor-heuristic,1000,100,1,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:55.770133,2017-07-21 18:11:56.325287,#FC1D68,662,0,0.005200624465942383,11
neighbor-heuristic,1000,100,2,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:56.326868,2017-07-21 18:11:56.895107,#FC1D68,662,0,0.005218505859375,11
neighbor-heuristic,1000,100,3,1,#F71976,0.27741150101170864,#F71976,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:56.896711,2017-07-21 18:11:57.448989,#FC1D68,662,0,0.005185604095458984,11
brute-force,1000,100,0,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:57.450576,2017-07-21 18:11:58.436228,#BBAD3D,40,0,0.43895387649536133,1000
exact-heuristic,1000,100,0,1,#BCB249,0.27741150101170864,#BCB249,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:58.438072,2017-07-21 18:11:58.988570,#BBAD3D,40,0,0.0030622482299804688,6
