algorithm,num_episodes,num_labels,random_seed_index,target_color,random_seed,target_color_hex,color_sequence_type,num_neighbors,_hostname,_pwd,_username,_start_time,_end_time,answer,num_fallbacks,runtime,total_episodes
brute-force,1000,20,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:19.216492,2017-06-23 22:32:20.098611,#D16C94,0,0.4014124870300293,1000
exact-heuristic,1000,20,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:20.100397,2017-06-23 22:32:20.580642,#D16C94,0,0.021778106689453125,52
brute-force,1000,20,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:20.582487,2017-06-23 22:32:21.461395,#73B726,0,0.42205357551574707,1000
exact-heuristic,1000,20,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:21.463213,2017-06-23 22:32:21.940853,#73B726,0,0.01987457275390625,47
brute-force,1000,20,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:21.942872,2017-06-23 22:32:22.828164,#0BE9A7,0,0.42471814155578613,1000
exact-heuristic,1000,20,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:22.830210,2017-06-23 22:32:23.288967,#0BE9A7,0,0.00726771354675293,17
brute-force,1000,20,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:23.290975,2017-06-23 22:32:24.142752,#EF106C,0,0.39561986923217773,1000
exact-heuristic,1000,20,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:24.154267,2017-06-23 22:32:24.654199,#EF106C,0,0.01957392692565918,47
brute-force,1000,20,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:24.656226,2017-06-23 22:32:25.505578,#BBB23B,0,0.3930997848510742,1000
exact-heuristic,1000,20,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:25.507374,2017-06-23 22:32:26.008489,#BBB23B,0,0.0269777774810791,64
brute-force,1000,50,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:26.010378,2017-06-23 22:32:26.879656,#D16C94,0,0.3929860591888428,1000
exact-heuristic,1000,50,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:26.881502,2017-06-23 22:32:27.387934,#B36892,0,0.007765293121337891,18
brute-force,1000,50,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:27.389917,2017-06-23 22:32:28.266661,#73B726,0,0.39775753021240234,1000
exact-heuristic,1000,50,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:28.268481,2017-06-23 22:32:28.777272,#73B726,0,0.006936311721801758,16
brute-force,1000,50,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:28.779137,2017-06-23 22:32:29.652135,#0BE9A7,0,0.39437031745910645,1000
exact-heuristic,1000,50,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:29.654040,2017-06-23 22:32:30.160490,#0BE9A7,0,0.004046201705932617,9
brute-force,1000,50,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:30.167545,2017-06-23 22:32:31.044154,#EF106C,0,0.3978574275970459,1000
exact-heuristic,1000,50,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:31.046107,2017-06-23 22:32:31.530761,#EF106C,0,0.006933927536010742,16
brute-force,1000,50,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:31.532749,2017-06-23 22:32:32.437474,#BBB23B,0,0.3986048698425293,1000
exact-heuristic,1000,50,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:32.439384,2017-06-23 22:32:32.921234,#BBB23B,0,0.005212306976318359,12
brute-force,1000,100,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:32.923113,2017-06-23 22:32:33.853482,#D16C94,0,0.39435315132141113,1000
exact-heuristic,1000,100,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:33.855357,2017-06-23 22:32:34.377607,#D16C94,0,0.0036690235137939453,8
brute-force,1000,100,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:34.379401,2017-06-23 22:32:35.312902,#73B726,0,0.39584827423095703,1000
exact-heuristic,1000,100,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:35.314857,2017-06-23 22:32:35.831709,#73B726,0,0.0028455257415771484,6
brute-force,1000,100,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:35.833754,2017-06-23 22:32:36.772491,#0BE9A7,0,0.3980073928833008,1000
exact-heuristic,1000,100,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:36.774231,2017-06-23 22:32:37.296254,#0BE9A7,0,0.002493619918823242,5
brute-force,1000,100,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:37.298127,2017-06-23 22:32:38.237252,#EF106C,0,0.4228787422180176,1000
exact-heuristic,1000,100,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:38.239108,2017-06-23 22:32:38.757598,#EF106C,0,0.001676321029663086,3
brute-force,1000,100,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:38.759432,2017-06-23 22:32:39.697042,#BBB23B,0,0.42127203941345215,1000
exact-heuristic,1000,100,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:39.699030,2017-06-23 22:32:40.219985,#BBB23B,0,0.0020666122436523438,4
brute-force,1000,200,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:40.221902,2017-06-23 22:32:41.204332,#D16C94,0,0.3936944007873535,1000
exact-heuristic,1000,200,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:41.206294,2017-06-23 22:32:41.819717,#C57A7F,0,0.0024330615997314453,4
brute-force,1000,200,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:41.821853,2017-06-23 22:32:42.810607,#73B726,0,0.3978431224822998,1000
exact-heuristic,1000,200,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:42.812540,2017-06-23 22:32:43.418094,#73B726,0,0.0013179779052734375,2
brute-force,1000,200,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:43.420251,2017-06-23 22:32:44.408558,#0BE9A7,0,0.3983879089355469,1000
exact-heuristic,1000,200,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:44.410435,2017-06-23 22:32:45.017574,#0BE9A7,0,0.002524852752685547,5
brute-force,1000,200,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:45.019569,2017-06-23 22:32:45.995622,#EF106C,0,0.3925454616546631,1000
exact-heuristic,1000,200,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:45.997553,2017-06-23 22:32:46.995575,#EF106C,1,0.3931083679199219,1000
brute-force,1000,200,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:46.997591,2017-06-23 22:32:47.974201,#BBB23B,0,0.3924992084503174,1000
exact-heuristic,1000,200,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:47.976019,2017-06-23 22:32:48.583794,#BBB23B,0,0.0008778572082519531,1
brute-force,10000,10,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:48.585886,2017-06-23 22:32:57.574823,#D16C94,0,4.2851340770721436,10000
exact-heuristic,10000,10,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:57.577318,2017-06-23 22:33:02.830625,#D16C94,0,0.5312821865081787,1222
brute-force,10000,10,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:33:02.832748,2017-06-23 22:33:11.883041,#78B631,0,4.304885149002075,10000
exact-heuristic,10000,10,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:33:11.885475,2017-06-23 22:33:17.548510,#78B631,0,0.490372896194458,1054
brute-force,10000,10,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:33:17.670722,2017-06-23 22:33:27.435056,#0CF8A3,0,4.6280035972595215,10000
exact-heuristic,10000,10,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:33:27.437117,2017-06-23 22:33:32.870653,#0CF8A3,0,0.32462072372436523,702
brute-force,10000,10,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:33:32.872756,2017-06-23 22:33:42.534482,#FB1373,0,4.515226125717163,10000
exact-heuristic,10000,10,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:33:42.536435,2017-06-23 22:33:47.885304,#FB1373,0,0.24802947044372559,536
brute-force,10000,10,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:33:47.887289,2017-06-23 22:33:57.498666,#BCB146,0,4.490067720413208,10000
exact-heuristic,10000,10,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:33:57.555772,2017-06-23 22:34:03.137987,#BCB146,0,0.4879322052001953,1054
brute-force,10000,20,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:34:03.139987,2017-06-23 22:34:12.842430,#D16C94,0,4.504566669464111,10000
exact-heuristic,10000,20,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:34:12.844761,2017-06-23 22:34:18.246977,#D16C94,0,0.22359848022460938,488
brute-force,10000,20,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:34:18.249068,2017-06-23 22:34:27.937386,#78B631,0,4.554660320281982,10000
exact-heuristic,10000,20,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:34:27.939511,2017-06-23 22:34:33.251363,#78B631,0,0.18754243850708008,409
brute-force,10000,20,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:34:33.253322,2017-06-23 22:34:42.896350,#0CF8A3,0,4.471020698547363,10000
exact-heuristic,10000,20,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:34:42.898321,2017-06-23 22:34:48.187224,#0CF8A3,0,0.08070135116577148,172
brute-force,10000,20,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:34:48.189230,2017-06-23 22:34:57.957074,#FB1373,0,4.551194667816162,10000
exact-heuristic,10000,20,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:34:57.959112,2017-06-23 22:35:03.442056,#FB1373,0,0.2309887409210205,488
brute-force,10000,20,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:35:03.444244,2017-06-23 22:35:13.197525,#BCB146,0,4.5305116176605225,10000
exact-heuristic,10000,20,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:35:13.199788,2017-06-23 22:35:18.777719,#BCB146,0,0.2919456958770752,616
brute-force,10000,50,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:35:18.779702,2017-06-23 22:35:28.805462,#D16C94,0,4.561185598373413,10000
exact-heuristic,10000,50,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:35:28.807414,2017-06-23 22:35:34.439942,#D0618F,0,0.07839798927307129,168
brute-force,10000,50,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:35:34.441907,2017-06-23 22:35:44.520394,#78B631,0,4.5676751136779785,10000
exact-heuristic,10000,50,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:35:44.522336,2017-06-23 22:35:50.151401,#78B631,0,0.06878185272216797,147
brute-force,10000,50,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:35:50.435819,2017-06-23 22:36:00.475834,#0CF8A3,0,4.5668017864227295,10000
exact-heuristic,10000,50,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:36:00.477844,2017-06-23 22:36:06.064576,#0CF8A3,0,0.049222707748413086,108
brute-force,10000,50,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:36:06.066437,2017-06-23 22:36:16.057364,#FB1373,0,4.578209161758423,10000
exact-heuristic,10000,50,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:36:16.059307,2017-06-23 22:36:21.628271,#FB1373,0,0.0829770565032959,179
brute-force,10000,50,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:36:21.630302,2017-06-23 22:36:31.738148,#BCB146,0,4.582091808319092,10000
exact-heuristic,10000,50,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:36:31.740293,2017-06-23 22:36:37.330144,#BCB146,0,0.060680389404296875,132
brute-force,10000,100,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:36:37.332131,2017-06-23 22:36:47.805826,#D16C94,0,4.573678255081177,10000
exact-heuristic,10000,100,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:36:47.807942,2017-06-23 22:36:53.745120,#D16C94,0,0.040242671966552734,86
brute-force,10000,100,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:36:53.747145,2017-06-23 22:37:04.253617,#78B631,0,4.567547798156738,10000
exact-heuristic,10000,100,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:37:04.255794,2017-06-23 22:37:10.155920,#78B631,0,0.023089170455932617,50
brute-force,10000,100,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:37:10.157994,2017-06-23 22:37:20.500477,#0CF8A3,0,4.4610512256622314,10000
exact-heuristic,10000,100,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:37:20.502759,2017-06-23 22:37:26.212504,#0CF8A3,0,0.022922992706298828,51
brute-force,10000,100,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:37:26.214512,2017-06-23 22:37:36.398674,#FB1373,0,4.435136556625366,10000
exact-heuristic,10000,100,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:37:36.400808,2017-06-23 22:37:42.203169,#FB1373,0,0.04052400588989258,90
brute-force,10000,100,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:37:42.205143,2017-06-23 22:37:52.420630,#BCB146,0,4.450453996658325,10000
exact-heuristic,10000,100,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:37:52.422771,2017-06-23 22:37:58.185174,#BCB146,0,0.027348995208740234,61
brute-force,10000,200,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:37:58.187257,2017-06-23 22:38:09.212334,#D16C94,0,4.460339307785034,10000
exact-heuristic,10000,200,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:38:09.214353,2017-06-23 22:38:15.718608,#C37195,0,0.020628690719604492,45
brute-force,10000,200,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:38:15.720743,2017-06-23 22:38:26.706651,#78B631,0,4.455294132232666,10000
exact-heuristic,10000,200,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:38:26.713278,2017-06-23 22:38:33.271339,#78B631,0,0.012580633163452148,27
brute-force,10000,200,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:38:33.285061,2017-06-23 22:38:44.261806,#0CF8A3,0,4.450650691986084,10000
exact-heuristic,10000,200,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:38:44.264030,2017-06-23 22:38:50.844113,#0CF8A3,0,0.02185344696044922,48
brute-force,10000,200,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:38:50.846209,2017-06-23 22:39:01.867041,#FB1373,0,4.549283027648926,10000
exact-heuristic,10000,200,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:39:01.869187,2017-06-23 22:39:08.417263,#FB1373,0,0.030652284622192383,68
brute-force,10000,200,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:39:08.419344,2017-06-23 22:39:19.465367,#BCB146,0,4.4625608921051025,10000
exact-heuristic,10000,200,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:39:19.467358,2017-06-23 22:39:25.989806,#BCB146,0,0.008353233337402344,18
