algorithm,always_use_neighbors,num_episodes,num_labels,num_neighbors,random_seed_index,target_color,trial,random_seed,target_label,target_label_index,color_sequence_type,_hostname,_pwd,_username,_start_time,_end_time,answer,answer_episode,changes,num_fallbacks,runtime,total_episodes
neighbor-heuristic,True,1000,20,5,3,#06FDA3,0,0.1717978382015274,turquoise,17,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:57.567327,2017-07-24 16:50:58.205379,#0CFEB2,746,"[[0, 20]]",1,0.1131899356842041,240
neighbor-heuristic,False,1000,20,5,3,#06FDA3,0,0.1717978382015274,turquoise,17,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:58.207527,2017-07-24 16:50:58.776391,#0CFEB2,746,"[[0, 20]]",0,0.008294820785522461,17
neighbor-heuristic,True,1000,20,10,3,#06FDA3,0,0.1717978382015274,turquoise,17,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:58.778479,2017-07-24 16:50:59.540148,#0CFEB2,746,"[[0, 20]]",1,0.24526572227478027,541
neighbor-heuristic,False,1000,20,10,3,#06FDA3,0,0.1717978382015274,turquoise,17,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:59.542310,2017-07-24 16:51:00.085866,#0CFEB2,746,"[[0, 20]]",0,0.007941722869873047,17
brute-force,True,1000,20,0,3,#F71976,0,0.1717978382015274,magenta,10,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:00.087864,2017-07-24 16:51:01.023330,#F81B64,881,"[[0, 20]]",0,0.43071842193603516,1000
exact-heuristic,True,1000,20,0,3,#F71976,0,0.1717978382015274,magenta,10,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:01.026252,2017-07-24 16:51:01.572776,#EE2679,510,"[[0, 20]]",0,0.017522096633911133,38
neighbor-heuristic,True,1000,20,2,3,#F71976,0,0.1717978382015274,magenta,10,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:01.575552,2017-07-24 16:51:02.147720,#EE2679,510,"[[0, 20]]",1,0.06510615348815918,142
neighbor-heuristic,False,1000,20,2,3,#F71976,0,0.1717978382015274,magenta,10,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:02.149730,2017-07-24 16:51:02.673809,#EE2679,510,"[[0, 20]]",0,0.017359018325805664,38
neighbor-heuristic,True,1000,20,5,3,#F71976,0,0.1717978382015274,magenta,10,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:02.675809,2017-07-24 16:51:03.324808,#F81B64,881,"[[0, 20]]",1,0.10976052284240723,240
neighbor-heuristic,False,1000,20,5,3,#F71976,0,0.1717978382015274,magenta,10,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:03.326855,2017-07-24 16:51:03.853619,#EE2679,510,"[[0, 20]]",0,0.017316579818725586,38
neighbor-heuristic,True,1000,20,10,3,#F71976,0,0.1717978382015274,magenta,10,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:03.869223,2017-07-24 16:51:04.699690,#F81B64,881,"[[0, 20]]",1,0.28957152366638184,630
neighbor-heuristic,False,1000,20,10,3,#F71976,0,0.1717978382015274,magenta,10,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:04.701749,2017-07-24 16:51:05.229162,#EE2679,510,"[[0, 20]]",0,0.017286062240600586,38
brute-force,True,1000,20,0,3,#BCB249,0,0.1717978382015274,yellow,11,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:05.231186,2017-07-24 16:51:06.195918,#BDA951,720,"[[0, 20]]",0,0.4584352970123291,1000
exact-heuristic,True,1000,20,0,3,#BCB249,0,0.1717978382015274,yellow,11,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:06.198698,2017-07-24 16:51:06.735881,#BDA951,720,"[[0, 20]]",0,0.03110647201538086,68
neighbor-heuristic,True,1000,20,2,3,#BCB249,0,0.1717978382015274,yellow,11,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:06.738703,2017-07-24 16:51:07.318471,#BDA951,720,"[[0, 20]]",1,0.06998682022094727,155
neighbor-heuristic,False,1000,20,2,3,#BCB249,0,0.1717978382015274,yellow,11,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:07.320571,2017-07-24 16:51:07.890017,#BDA951,720,"[[0, 20]]",0,0.031099319458007812,68
neighbor-heuristic,True,1000,20,5,3,#BCB249,0,0.1717978382015274,yellow,11,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:07.892235,2017-07-24 16:51:08.563381,#BDA951,720,"[[0, 20]]",1,0.15626311302185059,340
neighbor-heuristic,False,1000,20,5,3,#BCB249,0,0.1717978382015274,yellow,11,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:08.565466,2017-07-24 16:51:09.127967,#BDA951,720,"[[0, 20]]",0,0.03099536895751953,68
neighbor-heuristic,True,1000,20,10,3,#BCB249,0,0.1717978382015274,yellow,11,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:09.130035,2017-07-24 16:51:09.945339,#BDA951,720,"[[0, 20]]",1,0.30272865295410156,667
neighbor-heuristic,False,1000,20,10,3,#BCB249,0,0.1717978382015274,yellow,11,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:09.947659,2017-07-24 16:51:10.519867,#BDA951,720,"[[0, 20]]",0,0.06073880195617676,68
brute-force,True,1000,20,0,3,#608EC6,0,0.1717978382015274,light blue,6,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:10.522013,2017-07-24 16:51:11.450824,#5A8FD0,541,"[[0, 20]]",0,0.42424607276916504,1000
exact-heuristic,True,1000,20,0,3,#608EC6,0,0.1717978382015274,light blue,6,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:11.453520,2017-07-24 16:51:11.969368,#6897C9,269,"[[0, 20]]",0,0.012073993682861328,26
neighbor-heuristic,True,1000,20,2,3,#608EC6,0,0.1717978382015274,light blue,6,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:11.972343,2017-07-24 16:51:12.536015,#5A8FD0,541,"[[0, 20]]",1,0.032763004302978516,70
neighbor-heuristic,False,1000,20,2,3,#608EC6,0,0.1717978382015274,light blue,6,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:12.538266,2017-07-24 16:51:13.057383,#6897C9,269,"[[0, 20]]",0,0.011923789978027344,26
neighbor-heuristic,True,1000,20,5,3,#608EC6,0,0.1717978382015274,light blue,6,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:13.059469,2017-07-24 16:51:13.682237,#5A8FD0,541,"[[0, 20]]",1,0.09067916870117188,198
neighbor-heuristic,False,1000,20,5,3,#608EC6,0,0.1717978382015274,light blue,6,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:13.710054,2017-07-24 16:51:14.233945,#6897C9,269,"[[0, 20]]",0,0.012047290802001953,26
neighbor-heuristic,True,1000,20,10,3,#608EC6,0,0.1717978382015274,light blue,6,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:14.235990,2017-07-24 16:51:14.984250,#5A8FD0,541,"[[0, 20]]",1,0.23670029640197754,524
neighbor-heuristic,False,1000,20,10,3,#608EC6,0,0.1717978382015274,light blue,6,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:14.986423,2017-07-24 16:51:15.538663,#6897C9,269,"[[0, 20]]",0,0.012330770492553711,26
brute-force,True,1000,20,0,3,#757988,0,0.1717978382015274,grey,12,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:15.540647,2017-07-24 16:51:16.477218,#768C84,962,"[[0, 20]]",0,0.4283406734466553,1000
exact-heuristic,True,1000,20,0,3,#757988,0,0.1717978382015274,grey,12,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:16.480134,2017-07-24 16:51:17.035209,#768C84,962,"[[0, 20]]",0,0.025735139846801758,57
neighbor-heuristic,True,1000,20,2,3,#757988,0,0.1717978382015274,grey,12,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:17.038212,2017-07-24 16:51:17.622074,#768C84,962,"[[0, 20]]",1,0.07842159271240234,173
neighbor-heuristic,False,1000,20,2,3,#757988,0,0.1717978382015274,grey,12,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:17.624185,2017-07-24 16:51:18.182132,#768C84,962,"[[0, 20]]",0,0.02608633041381836,57
neighbor-heuristic,True,1000,20,5,3,#757988,0,0.1717978382015274,grey,12,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:18.184179,2017-07-24 16:51:18.822321,#768C84,962,"[[0, 20]]",1,0.1294538974761963,283
neighbor-heuristic,False,1000,20,5,3,#757988,0,0.1717978382015274,grey,12,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:18.824524,2017-07-24 16:51:19.358991,#768C84,962,"[[0, 20]]",0,0.025362253189086914,57
neighbor-heuristic,True,1000,20,10,3,#757988,0,0.1717978382015274,grey,12,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:19.361557,2017-07-24 16:51:20.137134,#768C84,962,"[[0, 20]]",1,0.23325562477111816,509
neighbor-heuristic,False,1000,20,10,3,#757988,0,0.1717978382015274,grey,12,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:20.139447,2017-07-24 16:51:20.678005,#768C84,962,"[[0, 20]]",0,0.025963306427001953,57
brute-force,True,1000,20,0,3,#46E35F,0,0.1717978382015274,light green,9,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:20.680099,2017-07-24 16:51:21.641736,#4EE45F,8,"[[0, 20]]",0,0.43155503273010254,1000
exact-heuristic,True,1000,20,0,3,#46E35F,0,0.1717978382015274,light green,9,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:21.644553,2017-07-24 16:51:22.173182,#4EE45F,8,"[[0, 20]]",0,0.020485639572143555,45
neighbor-heuristic,True,1000,20,2,3,#46E35F,0,0.1717978382015274,light green,9,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:22.176231,2017-07-24 16:51:22.795257,#4EE45F,8,"[[0, 20]]",1,0.08161425590515137,174
neighbor-heuristic,False,1000,20,2,3,#46E35F,0,0.1717978382015274,light green,9,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:22.797374,2017-07-24 16:51:23.333786,#4EE45F,8,"[[0, 20]]",0,0.02042078971862793,45
neighbor-heuristic,True,1000,20,5,3,#46E35F,0,0.1717978382015274,light green,9,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:23.335897,2017-07-24 16:51:23.972656,#4EE45F,8,"[[0, 20]]",1,0.13191008567810059,289
neighbor-heuristic,False,1000,20,5,3,#46E35F,0,0.1717978382015274,light green,9,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:23.992475,2017-07-24 16:51:24.550276,#4EE45F,8,"[[0, 20]]",0,0.020549297332763672,45
neighbor-heuristic,True,1000,20,10,3,#46E35F,0,0.1717978382015274,light green,9,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:24.552332,2017-07-24 16:51:25.305621,#4EE45F,8,"[[0, 20]]",1,0.23977017402648926,531
neighbor-heuristic,False,1000,20,10,3,#46E35F,0,0.1717978382015274,light green,9,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:25.307748,2017-07-24 16:51:25.863089,#4EE45F,8,"[[0, 20]]",0,0.021240234375,45
brute-force,True,1000,20,0,3,#25AF13,0,0.1717978382015274,green,0,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:25.865294,2017-07-24 16:51:26.808243,#0FAB11,300,"[[0, 20]]",0,0.43122005462646484,1000
exact-heuristic,True,1000,20,0,3,#25AF13,0,0.1717978382015274,green,0,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:26.811118,2017-07-24 16:51:27.385252,#0FAB11,300,"[[0, 20]]",0,0.04043292999267578,89
neighbor-heuristic,True,1000,20,2,3,#25AF13,0,0.1717978382015274,green,0,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:27.388304,2017-07-24 16:51:27.973195,#0FAB11,300,"[[0, 20]]",1,0.07854104042053223,170
neighbor-heuristic,False,1000,20,2,3,#25AF13,0,0.1717978382015274,green,0,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:27.975359,2017-07-24 16:51:28.521071,#0FAB11,300,"[[0, 20]]",0,0.040281057357788086,89
neighbor-heuristic,True,1000,20,5,3,#25AF13,0,0.1717978382015274,green,0,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:28.523169,2017-07-24 16:51:29.183113,#0FAB11,300,"[[0, 20]]",1,0.11953282356262207,261
neighbor-heuristic,False,1000,20,5,3,#25AF13,0,0.1717978382015274,green,0,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:29.185226,2017-07-24 16:51:29.734648,#0FAB11,300,"[[0, 20]]",0,0.04055309295654297,89
neighbor-heuristic,True,1000,20,10,3,#25AF13,0,0.1717978382015274,green,0,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:29.736799,2017-07-24 16:51:30.517941,#0FAB11,300,"[[0, 20]]",1,0.2449653148651123,531
neighbor-heuristic,False,1000,20,10,3,#25AF13,0,0.1717978382015274,green,0,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:30.519887,2017-07-24 16:51:31.069798,#0FAB11,300,"[[0, 20]]",0,0.0405576229095459,89
brute-force,True,1000,20,0,3,#057D68,0,0.1717978382015274,teal,7,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:31.072209,2017-07-24 16:51:32.106874,#0C8B64,4,"[[0, 20]]",0,0.4607810974121094,1000
exact-heuristic,True,1000,20,0,3,#057D68,0,0.1717978382015274,teal,7,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:32.109831,2017-07-24 16:51:32.657078,#2F856D,810,"[[0, 20]]",0,0.019771814346313477,41
neighbor-heuristic,True,1000,20,2,3,#057D68,0,0.1717978382015274,teal,7,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:32.659958,2017-07-24 16:51:33.235551,#2F856D,810,"[[0, 20]]",1,0.04248642921447754,87
neighbor-heuristic,False,1000,20,2,3,#057D68,0,0.1717978382015274,teal,7,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:33.243869,2017-07-24 16:51:33.825674,#2F856D,810,"[[0, 20]]",0,0.02046370506286621,41
neighbor-heuristic,True,1000,20,5,3,#057D68,0,0.1717978382015274,teal,7,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:33.842769,2017-07-24 16:51:34.485643,#0C8B64,4,"[[0, 20]]",1,0.10650157928466797,217
neighbor-heuristic,False,1000,20,5,3,#057D68,0,0.1717978382015274,teal,7,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:34.487732,2017-07-24 16:51:35.079223,#2F856D,810,"[[0, 20]]",0,0.020621061325073242,41
neighbor-heuristic,True,1000,20,10,3,#057D68,0,0.1717978382015274,teal,7,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:35.081362,2017-07-24 16:51:35.877996,#0C8B64,4,"[[0, 20]]",1,0.2608761787414551,541
neighbor-heuristic,False,1000,20,10,3,#057D68,0,0.1717978382015274,teal,7,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:35.880063,2017-07-24 16:51:36.464701,#2F856D,810,"[[0, 20]]",0,0.020002126693725586,41
brute-force,True,1000,50,0,3,#CD6D8F,0,0.1717978382015274,mauve,25,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:36.466883,2017-07-24 16:51:37.494723,#E46E93,729,"[[0, 50]]",0,0.45163989067077637,1000
exact-heuristic,True,1000,50,0,3,#CD6D8F,0,0.1717978382015274,mauve,25,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:37.497791,2017-07-24 16:51:38.104432,#BF7C9B,643,"[[0, 50]]",0,0.009679555892944336,19
neighbor-heuristic,True,1000,50,2,3,#CD6D8F,0,0.1717978382015274,mauve,25,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:38.118771,2017-07-24 16:51:38.737869,#BF7C9B,643,"[[0, 50]]",1,0.020107030868530273,41
neighbor-heuristic,False,1000,50,2,3,#CD6D8F,0,0.1717978382015274,mauve,25,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:38.740077,2017-07-24 16:51:39.323852,#BF7C9B,643,"[[0, 50]]",0,0.009217262268066406,19
neighbor-heuristic,True,1000,50,5,3,#CD6D8F,0,0.1717978382015274,mauve,25,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:39.325953,2017-07-24 16:51:39.984140,#E46E93,729,"[[0, 50]]",1,0.05550408363342285,114
neighbor-heuristic,False,1000,50,5,3,#CD6D8F,0,0.1717978382015274,mauve,25,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:39.986179,2017-07-24 16:51:40.572834,#BF7C9B,643,"[[0, 50]]",0,0.009312152862548828,19
neighbor-heuristic,True,1000,50,10,3,#CD6D8F,0,0.1717978382015274,mauve,25,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:40.574964,2017-07-24 16:51:41.286679,#E46E93,729,"[[0, 50]]",1,0.09472012519836426,193
neighbor-heuristic,False,1000,50,10,3,#CD6D8F,0,0.1717978382015274,mauve,25,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:51:41.288648,2017-07-24 16:51:41.884850,#BF7C9B,643,"[[0, 50]]",0,0.009076118469238281,19
