algorithm	num_episodes	num_labels	num_trials	random_seed	target_color	target_color_hex	color_sequence_type	num_neighbors	_hostname	_pwd	_username	_start_time	_end_time	answer	num_fallbacks	runtime	total_episodes
exact-heuristic	1000	10	0	0.4979078532072325	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:53.241695	2017-06-19 15:46:54.281811	#D1608A	1	0.4861609935760498	1000
brute-force	1000	10	1	0.4979078532072325	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:54.281984	2017-06-19 15:46:55.339703	#D1608A	0	0.49205708503723145	1000
exact-heuristic	1000	10	1	0.4979078532072325	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:55.339872	2017-06-19 15:46:56.387091	#D1608A	1	0.4923110008239746	1000
brute-force	1000	10	2	0.4979078532072325	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:56.387246	2017-06-19 15:46:57.424636	#D1608A	0	0.49838805198669434	1000
exact-heuristic	1000	10	2	0.4979078532072325	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:57.424794	2017-06-19 15:46:58.457399	#D1608A	1	0.4713249206542969	1000
brute-force	1000	10	3	0.4979078532072325	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:58.457559	2017-06-19 15:46:59.508699	#D1608A	0	0.5039408206939697	1000
exact-heuristic	1000	10	3	0.4979078532072325	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:59.508862	2017-06-19 15:47:00.581271	#D1608A	1	0.5034811496734619	1000
brute-force	1000	10	4	0.4979078532072325	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:00.581439	2017-06-19 15:47:01.670848	#D1608A	0	0.5383028984069824	1000
exact-heuristic	1000	10	4	0.4979078532072325	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:01.671020	2017-06-19 15:47:02.738482	#D1608A	1	0.507836103439331	1000
brute-force	1000	10	5	0.4979078532072325	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:02.738637	2017-06-19 15:47:03.812859	#D1608A	0	0.539323091506958	1000
exact-heuristic	1000	10	5	0.4979078532072325	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:03.813216	2017-06-19 15:47:04.841599	#D1608A	1	0.48485803604125977	1000
brute-force	1000	10	0	0.8382372362691031	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:04.841760	2017-06-19 15:47:05.904048	#CB669A	0	0.5197389125823975	996
exact-heuristic	1000	10	0	0.8382372362691031	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:05.904219	2017-06-19 15:47:06.970938	#CB669A	1	0.5031580924987793	996
brute-force	1000	10	1	0.8382372362691031	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:06.971213	2017-06-19 15:47:08.021796	#CB669A	0	0.5031380653381348	996
exact-heuristic	1000	10	1	0.8382372362691031	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:08.021957	2017-06-19 15:47:09.059792	#CB669A	1	0.49567389488220215	996
brute-force	1000	10	2	0.8382372362691031	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:09.059942	2017-06-19 15:47:10.119280	#CB669A	0	0.49161386489868164	996
exact-heuristic	1000	10	2	0.8382372362691031	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:10.119479	2017-06-19 15:47:11.158984	#CB669A	1	0.4851419925689697	996
brute-force	1000	10	3	0.8382372362691031	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:11.159140	2017-06-19 15:47:12.217502	#CB669A	0	0.5027751922607422	996
exact-heuristic	1000	10	3	0.8382372362691031	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:12.217690	2017-06-19 15:47:13.240816	#CB669A	1	0.4956319332122803	996
brute-force	1000	10	4	0.8382372362691031	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:13.240996	2017-06-19 15:47:14.318508	#CB669A	0	0.5048258304595947	996
exact-heuristic	1000	10	4	0.8382372362691031	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:14.318756	2017-06-19 15:47:15.337367	#CB669A	1	0.4954500198364258	996
brute-force	1000	10	5	0.8382372362691031	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:15.337530	2017-06-19 15:47:16.395237	#CB669A	0	0.4889869689941406	996
exact-heuristic	1000	10	5	0.8382372362691031	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:16.395452	2017-06-19 15:47:17.419242	#CB669A	1	0.49272608757019043	996
brute-force	1000	10	0	0.1717978382015274	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:17.419398	2017-06-19 15:47:18.486292	#E46E93	0	0.5141091346740723	995
exact-heuristic	1000	10	0	0.1717978382015274	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:18.486447	2017-06-19 15:47:19.536151	#E46E93	1	0.49281787872314453	995
brute-force	1000	10	1	0.1717978382015274	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:19.536409	2017-06-19 15:47:20.602112	#E46E93	0	0.504835844039917	995
exact-heuristic	1000	10	1	0.1717978382015274	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:20.602306	2017-06-19 15:47:21.679991	#E46E93	1	0.5354149341583252	995
brute-force	1000	10	2	0.1717978382015274	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:21.680159	2017-06-19 15:47:22.729531	#E46E93	0	0.5091040134429932	995
exact-heuristic	1000	10	2	0.1717978382015274	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:22.729684	2017-06-19 15:47:23.793686	#E46E93	1	0.5282561779022217	995
brute-force	1000	10	3	0.1717978382015274	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:23.793840	2017-06-19 15:47:24.795896	#E46E93	0	0.4745008945465088	995
exact-heuristic	1000	10	3	0.1717978382015274	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:24.796044	2017-06-19 15:47:25.874624	#E46E93	1	0.5317189693450928	995
brute-force	1000	10	4	0.1717978382015274	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:25.874788	2017-06-19 15:47:26.893894	#E46E93	0	0.48266005516052246	995
exact-heuristic	1000	10	4	0.1717978382015274	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:26.894047	2017-06-19 15:47:27.943740	#E46E93	1	0.4817781448364258	995
brute-force	1000	10	5	0.1717978382015274	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:27.943901	2017-06-19 15:47:28.973829	#E46E93	0	0.4919250011444092	995
exact-heuristic	1000	10	5	0.1717978382015274	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:28.974010	2017-06-19 15:47:30.042641	#E46E93	1	0.4870431423187256	995
brute-force	1000	10	0	0.03258176771935872	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:30.042802	2017-06-19 15:47:31.066160	#C76D9B	0	0.4931797981262207	991
exact-heuristic	1000	10	0	0.03258176771935872	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:31.066346	2017-06-19 15:47:32.138998	#C76D9B	1	0.511397123336792	991
brute-force	1000	10	1	0.03258176771935872	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:32.139156	2017-06-19 15:47:33.190281	#C76D9B	0	0.4962430000305176	991
exact-heuristic	1000	10	1	0.03258176771935872	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:33.190436	2017-06-19 15:47:34.248184	#C76D9B	1	0.5015740394592285	991
brute-force	1000	10	2	0.03258176771935872	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:34.248355	2017-06-19 15:47:35.270121	#C76D9B	0	0.49148106575012207	991
exact-heuristic	1000	10	2	0.03258176771935872	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:35.270275	2017-06-19 15:47:36.340622	#C76D9B	1	0.5035910606384277	991
brute-force	1000	10	3	0.03258176771935872	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:36.340772	2017-06-19 15:47:37.358949	#C76D9B	0	0.4712061882019043	991
exact-heuristic	1000	10	3	0.03258176771935872	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:37.359109	2017-06-19 15:47:38.418138	#C76D9B	1	0.49188709259033203	991
brute-force	1000	10	4	0.03258176771935872	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:38.418299	2017-06-19 15:47:39.456181	#C76D9B	0	0.5122590065002441	991
exact-heuristic	1000	10	4	0.03258176771935872	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:39.456391	2017-06-19 15:47:40.525592	#C76D9B	1	0.4917471408843994	991
brute-force	1000	10	5	0.03258176771935872	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:40.525753	2017-06-19 15:47:41.588691	#C76D9B	0	0.5298099517822266	991
exact-heuristic	1000	10	5	0.03258176771935872	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:41.588857	2017-06-19 15:47:42.621757	#C76D9B	1	0.4873979091644287	991
brute-force	1000	10	0	0.8048553004169102	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:42.621915	2017-06-19 15:47:43.709010	#BD628E	0	0.5338881015777588	998
exact-heuristic	1000	10	0	0.8048553004169102	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:43.709166	2017-06-19 15:47:44.758210	#BD628E	1	0.5073680877685547	998
brute-force	1000	10	1	0.8048553004169102	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:44.758402	2017-06-19 15:47:45.808372	#BD628E	0	0.5193679332733154	998
exact-heuristic	1000	10	1	0.8048553004169102	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:45.808524	2017-06-19 15:47:46.860435	#BD628E	1	0.4941260814666748	998
brute-force	1000	10	2	0.8048553004169102	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:46.860591	2017-06-19 15:47:47.910338	#BD628E	0	0.4890930652618408	998
exact-heuristic	1000	10	2	0.8048553004169102	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:47.910517	2017-06-19 15:47:48.959631	#BD628E	1	0.5014030933380127	998
brute-force	1000	10	3	0.8048553004169102	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:48.959854	2017-06-19 15:47:50.031645	#BD628E	0	0.5013902187347412	998
exact-heuristic	1000	10	3	0.8048553004169102	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:50.031798	2017-06-19 15:47:51.093929	#BD628E	1	0.5149941444396973	998
brute-force	1000	10	4	0.8048553004169102	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:51.094092	2017-06-19 15:47:52.233391	#BD628E	0	0.5309929847717285	998
exact-heuristic	1000	10	4	0.8048553004169102	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:52.233625	2017-06-19 15:47:53.305686	#BD628E	1	0.505436897277832	998
brute-force	1000	10	5	0.8048553004169102	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:53.305907	2017-06-19 15:47:54.411146	#BD628E	0	0.522589921951294	998
exact-heuristic	1000	10	5	0.8048553004169102	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:54.411303	2017-06-19 15:47:55.493571	#BD628E	1	0.5158710479736328	998
brute-force	1000	10	0	0.4643851618510445	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:55.493756	2017-06-19 15:47:56.633493	#CE7C8C	0	0.5269749164581299	993
exact-heuristic	1000	10	0	0.4643851618510445	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:56.633838	2017-06-19 15:47:57.672317	#CE7C8C	1	0.492297887802124	993
brute-force	1000	10	1	0.4643851618510445	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:57.672479	2017-06-19 15:47:58.799691	#CE7C8C	0	0.5204191207885742	993
exact-heuristic	1000	10	1	0.4643851618510445	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:58.799941	2017-06-19 15:47:59.939706	#CE7C8C	1	0.5535562038421631	993
brute-force	1000	10	2	0.4643851618510445	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:47:59.939887	2017-06-19 15:48:01.088867	#CE7C8C	0	0.5173680782318115	993
exact-heuristic	1000	10	2	0.4643851618510445	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:01.089087	2017-06-19 15:48:02.180058	#CE7C8C	1	0.5192968845367432	993
brute-force	1000	10	3	0.4643851618510445	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:02.180217	2017-06-19 15:48:03.228348	#CE7C8C	0	0.5011951923370361	993
exact-heuristic	1000	10	3	0.4643851618510445	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:03.228507	2017-06-19 15:48:04.278546	#CE7C8C	1	0.4996218681335449	993
brute-force	1000	10	4	0.4643851618510445	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:04.278706	2017-06-19 15:48:05.306377	#CE7C8C	0	0.4969820976257324	993
exact-heuristic	1000	10	4	0.4643851618510445	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:05.306537	2017-06-19 15:48:06.373732	#CE7C8C	1	0.5249028205871582	993
brute-force	1000	10	5	0.4643851618510445	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:06.373901	2017-06-19 15:48:07.398879	#CE7C8C	0	0.4857909679412842	993
exact-heuristic	1000	10	5	0.4643851618510445	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:07.399041	2017-06-19 15:48:08.437410	#CE7C8C	1	0.49236392974853516	993
brute-force	1000	10	0	0.374395196873219	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:08.437572	2017-06-19 15:48:09.463892	#D07293	0	0.49083614349365234	995
exact-heuristic	1000	10	0	0.374395196873219	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:09.464048	2017-06-19 15:48:10.544127	#D07293	1	0.5095999240875244	995
brute-force	1000	10	1	0.374395196873219	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:10.544279	2017-06-19 15:48:11.586895	#D07293	0	0.5141549110412598	995
exact-heuristic	1000	10	1	0.374395196873219	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:11.587084	2017-06-19 15:48:12.649422	#D07293	1	0.4916388988494873	995
brute-force	1000	10	2	0.374395196873219	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:12.649583	2017-06-19 15:48:13.683626	#D07293	0	0.49189114570617676	995
exact-heuristic	1000	10	2	0.374395196873219	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:13.683776	2017-06-19 15:48:14.761722	#D07293	1	0.4979259967803955	995
brute-force	1000	10	3	0.374395196873219	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:14.761874	2017-06-19 15:48:15.840868	#D07293	0	0.5063531398773193	995
exact-heuristic	1000	10	3	0.374395196873219	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:15.841027	2017-06-19 15:48:16.930093	#D07293	1	0.5233609676361084	995
brute-force	1000	10	4	0.374395196873219	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:16.930260	2017-06-19 15:48:18.038052	#D07293	0	0.5166759490966797	995
exact-heuristic	1000	10	4	0.374395196873219	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:48:18.038212	2017-06-19 15:48:19.155120	#D07293	1	0.5228040218353271	995
